date,tercile,n,base_med,ex120,ex60,win
20251119,2,42,343.5,0.4355943549806516,0.11483740983770006,0.11904761904761904
20251126,0,43,43.0,-0.3287702426726057,-0.1983329891045644,0.11627906976744186
20251126,1,43,117.0,-0.27633379458672225,-0.1667277670736311,0.046511627906976744
20251126,2,44,335.0,0.27291405732040486,0.11182553497381903,0.13636363636363635
20251203,0,46,46.0,-0.3138170122844791,-0.15652990377886924,0.06521739130434782
20251203,1,44,135.5,-0.29563418830354904,-0.14919341830539753,0.06818181818181818
20251203,2,44,342.0,0.032461633266599906,0.14294225070147157,0.09090909090909091
20251210,0,54,44.5,-0.25540775830491386,-0.07282878658827735,0.07407407407407407
20251210,1,53,105.0,-0.33878425121935957,-0.17948355065177252,0.05660377358490566
20251210,2,54,333.5,-0.12898558141252248,0.06552543388880112,0.09259259259259259
20251217,0,59,47.0,-0.41367282926642546,-0.10774211054254265,0.05084745762711865
20251217,1,57,102.0,-0.634026425587074,-0.18075297109552568,0.0
20251217,2,58,326.5,-0.1563116652763742,0.030032158890096715,0.10344827586206896
20251224,0,51,44.0,-0.33934956118091686,-0.09872853905789618,0.09803921568627451
20251224,1,50,104.0,-0.6901132033654072,-0.179655513286421,0.0
20251224,2,51,348.0,-0.1056657666850527,0.03286596295077946,0.0784313725490196
20260105,0,55,43.0,-0.12245666479296344,0.03936795220649881,0.14545454545454545
20260105,1,56,113.0,-0.2815568348608685,-0.039039033354627294,0.017857142857142856
20260105,2,55,377.0,-0.052214904768601446,0.03335403132778275,0.09090909090909091
20260112,0,59,45.0,-0.12515902714165708,0.08842896554941967,0.0847457627118644
20260112,1,58,123.0,-0.13582512222243914,0.01886479297768329,0.034482758620689655
20260112,2,59,364.0,0.07408010746055521,0.025348190652464332,0.1016949152542373
20260119,0,71,49.0,-0.10336140965392616,0.0802294824831396,0.07042253521126761
20260119,1,71,143.0,-0.06757358379625099,0.014847810683414835,0.04225352112676056
20260119,2,72,379.5,-0.01843826804232919,-0.004403065042540461,0.08333333333333333
20260126,0,86,49.5,-0.1422768066356983,0.04199798043378162,0.011627906976744186
20260126,1,86,129.5,-0.06543418129060163,0.09070531191437232,0.046511627906976744
20260126,2,87,377.0,-0.06803160534805054,0.01791724124431249,0.034482758620689655
20260202,0,114,49.0,-0.10287268379048876,0.037561454901116925,0.008771929824561403
20260202,1,110,129.5,-0.09461336767991187,-0.008791867590676926,0.03636363636363636
20260202,2,113,374.0,-0.019650216062657343,0.05583382831835522,0.02654867256637168
20260209,0,125,49.0,0.04980486779734221,0.13293434740150262,0.032
20260209,1,121,131.0,-0.1639177883127565,-0.19889575009951763,0.024793388429752067
20260209,2,123,378.0,-0.007609312030987798,-0.009123058587183468,0.04878048780487805
20260219,0,135,53.0,-0.046377037280572866,0.037680284022370454,0.037037037037037035
20260219,1,133,134.0,-0.19601799723179889,-0.19496167720953256,0.022556390977443608
20260219,2,134,366.5,-0.01906603117053544,-0.0056896825619346695,0.04477611940298507
20260226,0,162,55.0,0.008046836320005364,0.009170023272461253,0.037037037037037035
20260226,1,161,134.0,-0.09430337270979906,-0.23029768650585009,0.0
20260226,2,159,355.0,-0.001691882110783455,-0.042662087614809475,0.031446540880503145
20260306,0,150,55.0,-0.005797800859275653,-0.05510569066765857,0.04666666666666667
20260306,1,150,133.0,-0.1703385516013054,-0.35779752711825646,0.006666666666666667
20260306,2,149,354.0,-0.025670465117008226,-0.08370680194843166,0.06040268456375839
20260313,0,92,53.0,-0.00011649720637243648,0.020652519484870846,0.043478260869565216
20260313,1,90,135.5,-0.18301635026671811,-0.2567385234628192,0.0
20260313,2,91,363.0,-0.03741904043721883,-0.025353472242986428,0.02197802197802198
20260320,0,71,50.0,0.021026576779642904,-0.024516815887407693,0.056338028169014086
20260320,1,70,127.5,-0.17030905598099222,-0.3244036567814469,0.0
20260320,2,71,377.0,-0.046891536398228253,-0.14678619235333898,0.028169014084507043
20260327,0,72,49.0,0.02672366536182464,-0.07982183952840947,0.041666666666666664
20260327,1,71,121.0,-0.19284962780949758,-0.347879427662437,0.014084507042253521
20260327,2,72,382.5,-0.1251125613021027,-0.2379793524285433,0.027777777777777776
