rank,ticker,market,wu_score,n_universe,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct,dilution_60d
127,018290,KOSDAQ,0.885,1093,브이티,화학,OBSERVE,0.43,0.046,-67.8,-66.2,-8.1,37.0,-23.6,-62.8,-6.3,-17.0,0,0,
128,383220,KOSPI,0.884,1093,F&F,의복,,2.56,0.0418,-22.3,0.5,-0.1,44.4,-4.9,-3.0,17.2,-23.2,0,0,
129,034020,KOSPI,0.883,1093,두산에너빌리티,기계·장비,,50.73,0.049,-41.9,23.8,3.7,2085.0,-1163.6,-2929.2,338.3,2348.9,0,0,
130,372320,KOSDAQ,0.882,1093,큐로셀,지주·전문서비스,EXCLUDE,0.37,0.0503,-63.0,-22.0,-11.9,6.2,-3.1,-0.7,-0.5,-1.9,0,0,
131,090430,KOSPI,0.881,1093,아모레퍼시픽,화학,,8.38,0.0372,-13.2,7.4,4.0,400.8,97.9,596.3,428.7,945.3,0,0,
132,319400,KOSDAQ,0.88,1093,현대무벡스,기계·장비,WATCH,2.46,0.0653,-52.4,443.3,-8.9,353.2,-41.4,-121.8,-43.0,-93.7,0,0,
133,032350,KOSPI,0.879,1093,롯데관광개발,사업지원,WATCH,1.0,0.0375,-52.8,-24.3,-1.0,52.4,-56.8,-92.6,42.8,64.3,0,0,CB 08/03
134,089860,KOSPI,0.878,1093,롯데렌탈,미분류,,1.85,0.0333,-1.0,34.7,26.9,91.3,-28.0,-162.4,-21.1,76.9,0,0,
135,226320,KOSPI,0.877,1093,잇츠한불,화학,,0.23,0.0353,-19.4,-24.2,5.7,6.6,0.9,7.0,2.3,1.8,0,0,
136,012750,KOSPI,0.876,1093,에스원,사업지원,,3.01,0.043,-15.8,-4.9,5.6,45.7,21.8,38.1,-18.9,-7.0,0,0,
137,001200,KOSPI,0.876,1093,,,,0.42,0.0393,-32.0,26.7,1.0,17.7,0.2,-27.5,2.6,17.0,0,0,
138,036620,KOSDAQ,0.875,1093,감성코퍼레이션,도매,OBSERVE,0.34,0.0427,-49.3,-25.1,-15.0,14.7,6.5,-31.6,-23.4,-0.7,0,0,
139,005380,KOSPI,0.874,1093,현대차,자동차·부품,WATCH,78.52,0.0396,-48.9,83.9,-4.1,2408.7,257.9,-1900.7,-1649.4,-5090.4,0,0,
140,452430,KOSDAQ,0.873,1093,사피엔반도체,반도체·전자부품,,0.29,0.0692,-34.0,11.9,23.9,8.5,-2.8,-0.6,2.5,-7.2,0,0,
141,439260,KOSPI,0.872,1093,대한조선,조선·기타운송,WAIT,1.79,0.038,-56.0,-43.8,-7.4,31.6,6.7,-97.9,-11.7,76.6,0,0,
142,095500,KOSDAQ,0.871,1093,미래나노텍,고무·플라스틱,WAIT,0.21,0.0706,-49.1,-36.3,-1.2,10.0,-3.1,-12.1,0.5,1.3,0,0,
143,032820,KOSDAQ,0.87,1093,우리기술,전기장비,EXCLUDE,1.84,0.0752,-63.7,215.3,-5.4,316.3,-290.1,-357.3,-108.8,-292.9,0,0,CB 08/05
144,140410,KOSDAQ,0.869,1093,메지온,지주·전문서비스,,1.99,0.0534,-62.4,51.1,17.1,59.4,-87.2,-190.8,-2.3,-22.5,0,0,
145,049070,KOSDAQ,0.868,1093,인탑스,반도체·전자부품,OBSERVE,0.28,0.0475,-25.3,25.3,-2.6,9.3,-1.4,15.4,0.2,-0.6,0,0,
146,211050,KOSDAQ,0.867,1093,인카금융서비스,,,0.52,0.0308,-37.3,-8.4,-0.1,8.9,6.9,24.3,0.3,-19.8,0,0,
147,298020,KOSPI,0.866,1093,효성티앤씨,화학,,1.5,0.0395,-35.1,51.0,0.4,62.9,-17.3,183.4,95.0,-71.8,0,0,
148,003550,KOSPI,0.866,1093,LG,금융(은행),,18.31,0.0341,-27.0,48.1,15.9,363.6,-244.4,-63.4,39.7,316.8,0,0,
149,009900,KOSPI,0.865,1093,명신산업,자동차·부품,,0.45,0.046,-41.3,-25.5,23.8,21.8,-5.4,-29.0,3.1,11.8,0,0,
150,454910,KOSPI,0.864,1093,두산로보틱스,기계·장비,EXCLUDE,4.43,0.0492,-59.0,20.7,-3.3,270.9,-78.2,-144.3,-83.1,-120.0,0,0,
151,437730,KOSDAQ,0.863,1093,삼현,자동차·부품,WATCH,1.03,0.0737,-55.5,232.6,-12.7,53.0,-9.8,-45.5,-14.9,-31.3,0,0,
152,000500,KOSPI,0.862,1093,가온전선,전기장비,,6.31,0.1206,-62.4,155.5,36.7,369.3,-130.7,56.4,292.8,513.9,0,0,
153,037270,KOSPI,0.861,1093,YG PLUS,IT서비스,WAIT,0.2,0.038,-66.0,-62.3,-7.3,6.2,-4.4,-17.4,0.0,0.1,0,0,
154,024950,KOSDAQ,0.86,1093,삼천리자전거,도매,,0.06,0.0371,-31.2,-24.1,22.4,5.5,-1.7,-5.0,1.4,13.9,0,0,
