factor,h,ic,lo,hi,n,pos,ic_강세,ic_조정,ic_반등,ic_약세,ic_2024,ic_2025,ic_2026,ic_KOSPI,ic_KOSDAQ,robust,ic_avoid_loss
to_trend,60,-0.028066178839302687,-0.05177280168467313,-0.0008918722432003736,589,0.3310696095076401,-0.02769867723127465,-0.008148116794950982,-0.03745725782171719,-0.03218207065266503,-0.02674157277549509,-0.03203747469908398,-0.021873463125729666,-0.052474923482330287,-0.02169167939597064,True,
logprice,5,0.047178254322340435,0.03524604412682434,0.06136207336880258,644,0.6972049689440993,0.06273080974492476,0.05146108459465793,0.0641998386720028,0.021722659011790373,0.024001002036761424,0.06435870936534074,0.056656605191170856,0.05039437118310383,0.010112760007838955,True,
logprice,20,0.07337520338857108,0.048391397438815424,0.10651736901165569,629,0.739268680445151,0.1092055981196167,0.05139463239023261,0.06298604959103866,0.03428732673536037,0.03917825919973314,0.10824962787764147,0.07270697720480476,0.08445692288844846,0.012749265007213847,True,0.02929201938839589
logprice,40,0.09515259622967255,0.06286383056502923,0.14294695552250633,609,0.8078817733990148,0.11877897198645856,0.1358542080936211,0.08654061106845518,0.05244611268924885,0.052158073277817914,0.14742591549422357,0.07759585101203995,0.11184813617885558,0.015781384602708174,True,
logprice,60,0.11365413855322735,0.06974625888638251,0.16518062398976469,589,0.8913412563667232,0.13389966922536195,0.15187898829493715,0.08620209299363492,0.07729341510482694,0.05628941345670278,0.17395342219726462,0.10787322866677088,0.13788519312656278,0.017250717309101153,True,
days_since_high,5,-0.008689685051707054,-0.022736771723198015,0.003912689928446592,644,0.4518633540372671,-0.015814281729374224,-0.0033368311426606534,-0.0342319110599176,0.005807193540730969,-0.010421347513166519,-0.010648063793830475,-0.0030159300125299805,-0.0020258290616059454,-6.455172130179503e-05,False,
days_since_high,20,-0.016660890276967818,-0.036097647828891424,0.005119380328445776,629,0.37360890302066774,-0.025727009453902192,-0.025196909206360783,-0.024180926498539885,-0.0011713455654284517,-0.021439974952902514,-0.017451496135879235,-0.007168419795956422,-0.012245963341996687,0.0009185813450635907,False,0.03712640214676173
days_since_high,40,-0.02645307095737396,-0.05755246417159463,-0.010396030019277195,609,0.29720853858784896,-0.0411332114571675,-0.034279756518689766,-0.02657802127381928,-0.003355504923423287,-0.031077817376504013,-0.033844068764786996,-0.0027371392853277137,-0.022740103017171377,-0.0032736684899665296,True,
days_since_high,60,-0.04240019297377205,-0.07643964869295923,-0.02242017436622337,589,0.2071307300509338,-0.04847464591692122,-0.04128498056312468,-0.04121236578479876,-0.03343931571819582,-0.043009249965879084,-0.044667849098319154,-0.035629487262951516,-0.04343756513850961,-0.011254463556194076,True,
beta60,5,-0.023764113970470235,-0.04763373197683678,0.0015467137616667697,644,0.4394409937888199,-0.018640132906135892,-0.024374093597232464,-0.0455245552059034,-0.024552153117148267,-0.048042190180642284,0.0031958971926246585,-0.02756457033874228,-0.008733917270579,-0.007640037045068026,False,
beta60,20,-0.026914315756437983,-0.08695232177171214,0.023782469951415756,629,0.45151033386327505,-0.006614746179513135,-0.00972417399370061,-0.04256676499162818,-0.05428406373788904,-0.07889217149927723,0.030316635401237076,-0.03507720651800855,-0.004033435224560196,-0.006765966808683464,False,-0.059670274854111055
beta60,40,-0.03079988595257306,-0.09538956271931624,0.05573746712319908,609,0.46469622331691296,-0.0023290301621857997,0.03927946131177416,-0.06947505077214294,-0.08139546145838607,-0.08429969660256886,0.0514692082034161,-0.08653295088875519,0.010098964014617148,-0.010754248713132273,False,
beta60,60,-0.025433737059732644,-0.08747370293646796,0.07770283960491849,589,0.4770797962648557,0.01698255953936438,-0.04119305637808642,-0.06352009027026041,-0.07802402032568301,-0.09483838545199981,0.07494876299746087,-0.0968689876046612,0.02915950094093418,-0.0070656433532901184,False,
ivol60,5,-0.11477685646240654,-0.1331395670505013,-0.09733476648553986,644,0.13975155279503104,-0.11458820054348,-0.14037034979331406,-0.10691535839339926,-0.11085687839111127,-0.11126189581722794,-0.11143454443530626,-0.12532426094330426,-0.0937218813444686,-0.10437136864244342,True,
ivol60,20,-0.16156512106257215,-0.19487787641540658,-0.13093209887703205,629,0.10333863275039745,-0.17268565008123415,-0.13226177545208778,-0.16200809492262017,-0.15418322409047647,-0.15941529684388492,-0.15146285916085456,-0.1823294881225395,-0.13018737810475464,-0.14495451498083717,True,-0.26182949195123895
ivol60,40,-0.19070286506108264,-0.22444393718201233,-0.1510762563894453,609,0.042692939244663386,-0.19382891521883733,-0.15501608769752423,-0.21952825953651187,-0.18919519054514772,-0.17857180702148268,-0.17685844148654273,-0.24200635015621313,-0.14640367979968988,-0.16773311784452377,True,
ivol60,60,-0.2110242271120176,-0.23514778071300987,-0.16809498494596112,589,0.006791171477079796,-0.19511975037888749,-0.24091796113030747,-0.23852025649090716,-0.220225137082915,-0.20854874721449157,-0.1878854713319792,-0.2712533144301306,-0.1491434570780306,-0.18695205689847338,True,
idio_share,5,-0.04350373716712279,-0.06269180766801755,-0.02484146498769847,644,0.3447204968944099,-0.05237349527187553,-0.06305879091266939,-0.018991057428151374,-0.03372607317351289,-0.02072360459644134,-0.06488708672512626,-0.045931469788701454,-0.04013617868369751,-0.05969024645556135,True,
idio_share,20,-0.07037197840058515,-0.10797228652369503,-0.0308112678589936,629,0.26073131955484896,-0.1011973721088563,-0.06782003691117086,-0.06358193494149068,-0.03227412260272197,-0.020264321567770215,-0.11461674259233014,-0.08099460310551208,-0.06790664243322693,-0.08727977531715155,True,-0.1024541770682742
idio_share,40,-0.08831885824881511,-0.1504083279420297,-0.0482527660027441,609,0.29720853858784896,-0.11918891950004251,-0.12783453503979061,-0.07656865494835739,-0.03631272203012666,-0.03074181648217006,-0.14900343749340703,-0.08314105348353176,-0.09331993610977529,-0.10088346960018722,True,
idio_share,60,-0.10838396880189646,-0.18155143698487794,-0.05217099249919188,589,0.27843803056027167,-0.1367751621437621,-0.11472763546777476,-0.08678967377341706,-0.06715575819308657,-0.0366396668688074,-0.17332070336888764,-0.1257715407092932,-0.11680145161346345,-0.11500486083978531,True,
mom_consist,5,0.04183774347103312,0.030116044245250054,0.05481680068281745,644,0.6940993788819876,0.06290165964782479,0.038443561213133075,0.07211081115508491,0.007715263128574976,0.03136378132996827,0.05115752068394465,0.04373812750201562,0.04136736085752164,0.025364055713720166,True,
mom_consist,20,0.0639138057362944,0.04097443192706961,0.09063519055396584,629,0.7710651828298887,0.09056028235915353,0.07466941149337385,0.08436876861131411,0.02225522811617796,0.04351745983115232,0.08213414025634241,0.06788155012093113,0.0706804807891514,0.03658424612110706,True,0.032066668112769536
mom_consist,40,0.08631791112280587,0.06193127379311701,0.12551211950228186,609,0.8719211822660099,0.11360069467351604,0.11611009361007615,0.08332590737286975,0.04003073442159856,0.05265047837488701,0.110300749879308,0.10591959089043747,0.096579808127077,0.0494954352477766,True,
mom_consist,60,0.11211846444654516,0.07725586863038478,0.15929025795867474,589,0.9303904923599321,0.13655438274340534,0.13158840635786204,0.0875154142116759,0.07399698535118619,0.06353022876111333,0.14124755509579254,0.15878146998176362,0.12928261233039648,0.06706430724534647,True,
